file;argcount;prob;ca_sol_n;ca_time_ns;m_sol_n;m_time_ns
128_0.7;128;0.7;0;68015500;0;60013900
16_0.1;16;0.1;1;33007500;1;35007400
512_0.1;512;0.1;0;-600000000000;0;-600000000000
256_0.4;256;0.4;0;13525885600;0;14994222100
32_0.7;32;0.7;0;27007000;0;28006900
256_0.8;256;0.8;0;178040000;0;224051200
256_0.2;256;0.2;0;74987928800;0;179573554200
16_0.5;16;0.5;0;34007300;0;28006500
16_0.7;16;0.7;1;30005900;1;33007900
64_0.1;64;0.1;1;31007400;1;31007200
64_0.8;64;0.8;0;29006900;0;33007700
256_0.7;256;0.7;0;523940400;0;1420397900
512_0.6;512;0.6;0;161552508100;0;222354248800
16_0.8;16;0.8;0;38009300;0;37008300
16_0.4;16;0.4;1;30006300;1;34009000
128_0.4;128;0.4;0;88020200;0;104024400
32_0.3;32;0.3;1;27006400;1;29006400
32_0.8;32;0.8;0;27005600;0;29005800
128_0.1;128;0.1;1;48011300;1;38008700
512_0.9;512;0.9;0;1103239600;0;809192100
64_0.2;64;0.2;2;30008200;2;30006600
64_0.5;64;0.5;0;28006100;0;31007400
32_0.2;32;0.2;1;27006300;1;28006600
256_0.5;256;0.5;0;4241919300;0;5755298300
64_0.9;64;0.9;0;30007200;0;35007800
256_0.6;256;0.6;0;1794416400;0;2573580300
512_0.2;512;0.2;0;-600000000000;0;-600000000000
128_0.8;128;0.8;0;49011000;0;59013100
256_0.1;256;0.1;1;9291288300;1;16955551700
64_0.7;64;0.7;0;30006500;0;32007000
512_0.3;512;0.3;0;-600000000000;0;-600000000000
512_0.7;512;0.7;0;22901165100;0;36168178200
64_0.3;64;0.3;0;31007600;0;32006200
128_0.9;128;0.9;0;42008900;0;61013000
32_0.6;32;0.6;0;27006700;0;27006200
128_0.2;128;0.2;0;57013100;0;58018600
16_0.6;16;0.6;1;34008000;1;27005900
512_0.8;512;0.8;0;4159940400;0;7705741600
512_0.5;512;0.5;0;-600000000000;0;-600000000000
256_0.9;256;0.9;0;110024400;0;161037200
32_0.1;32;0.1;1;29006300;1;26006300
16_0.9;16;0.9;1;31006500;1;34007900
128_0.3;128;0.3;0;71982900;0;78018000
256_0.3;256;0.3;0;43626858300;0;88794424300
64_0.6;64;0.6;0;30006600;0;31006900
16_0.2;16;0.2;0;34007100;0;34007700
32_0.5;32;0.5;0;28006000;0;28007000
32_0.9;32;0.9;0;27005800;0;27006200
512_0.4;512;0.4;0;-600000000000;0;-600000000000
128_0.6;128;0.6;0;65014700;0;80018500
128_0.5;128;0.5;0;79018300;0;126029200
32_0.4;32;0.4;1;27007200;1;26006600
16_0.3;16;0.3;0;35007700;0;37008400
64_0.4;64;0.4;0;37008300;0;36008100
